<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,20210322,000000,210.973,210.973,206.966,207.153,561913.9467080357,0
CDR,D,20210323,000000,208.116,210.973,201.81,210.688,617236.0149557928,0
CDR,D,20210324,000000,209.451,212.309,205.346,207.251,503587.2142831695,0
CDR,D,20210325,000000,209.922,211.838,198.657,198.657,775644.2318350469,0
CDR,D,20210326,000000,200.474,207.065,199.993,202.379,457880.88595023006,0
CDR,D,20210329,000000,208.116,232.453,206.2,228.829,2184102.710381193,0
CDR,D,20210330,000000,238.66,240.192,206.966,208.017,1731522.495967983,0
CDR,D,20210331,000000,190.741,194.464,173.269,181.863,3696577.9587237746,0
CDR,D,20210401,000000,182.148,188.807,176.668,185.752,1105792.7810578824,0
CDR,D,20210406,000000,189.956,191.881,185.222,188.139,769891.4861215008,0
CDR,D,20210407,000000,189.229,189.818,182.334,183.061,547215.4268636553,0
CDR,D,20210408,000000,183.081,183.081,173.839,174.703,1232169.9134410603,0
CDR,D,20210409,000000,175.194,183.287,173.367,176.019,1111837.745889953,0
CDR,D,20210412,000000,177.276,179.565,175.066,178.042,409877.5320722089,0
CDR,D,20210413,000000,178.711,181.863,177.542,178.042,379047.9059730126,0
CDR,D,20210414,000000,179.948,181.667,175.842,177.335,573459.147353323,0
CDR,D,20210415,000000,177.561,180.233,176.628,178.916,340476.00050995266,0
CDR,D,20210416,000000,181.382,183.768,167.062,168.741,1784391.7563531501,0
CDR,D,20210419,000000,170.823,176.706,169.066,169.449,717662.6641529888,0
CDR,D,20210420,000000,170.401,172.984,164.41,165.156,598471.8820788127,0
CDR,D,20210421,000000,165.156,171.796,159.716,164.773,770189.8143505395,0
CDR,D,20210422,000000,167.73,168.683,164.488,165.628,316619.9240376741,0
CDR,D,20210423,000000,168.948,170.883,159.902,163.379,742292.5612876265,0
CDR,D,20210426,000000,165.609,166.011,157.614,161.316,722529.588845155,0
CDR,D,20210427,000000,158.468,165.481,158.468,160.668,643698.6452380988,0
CDR,D,20210428,000000,162.289,166.778,160.953,164.675,697931.2554480673,0
CDR,D,20210429,000000,167.062,168.968,162.858,167.288,549441.179453002,0
CDR,D,20210430,000000,167.789,171.59,166.109,166.217,502955.9395323004,0
CDR,D,20210504,000000,167.268,167.828,160.089,161.258,619920.9690171399,0
CDR,D,20210505,000000,160.383,160.776,149.207,154.177,808872.7019875394,0
CDR,D,20210506,000000,153.223,153.96,147.606,149.423,810525.2163756939,0
CDR,D,20210507,000000,149.874,154.137,149.06,154.137,471284.27437025186,0
CDR,D,20210510,000000,155.611,157.899,149.501,149.551,490671.53651744593,0
CDR,D,20210511,000000,149.846,149.953,144.227,147.262,807939.0262672993,0
CDR,D,20210512,000000,148.214,163.035,144.895,153.696,1009431.744893276,0
CDR,D,20210513,000000,154.845,156.671,148.677,150.758,632901.8106281146,0
CDR,D,20210514,000000,152.242,159.195,148.067,157.398,644086.5737543642,0
CDR,D,20210517,000000,159.421,169.93,157.997,163.929,971475.8414048151,0
